# firmware : 1.1.9.1
name,version,licence,url
fuppes,0.660,GPLv2,http://sourceforge.net/projects/fuppes/files/fuppes-0.660.tar.gz
iw,3.2,BSD,http://wireless.kernel.org/download/iw/iw-3.2.tar.bz2
rsync,2.6.9,GPLv2,http://ftp.us.xemacs.org/pub/mirrors/rsync/src/rsync-2.6.9.tar.gz
libalsa,1.0.24.1,LGPL,ftp://ftp.alsa-project.org/pub/lib/alsa-lib-1.0.24.1.tar.bz2
ppp,2.4.5,GPLv2,http://samba.org/ftp/ppp/ppp-2.4.5.tar.gz
libiconv,1.11,LGPL,http://ftp.gnu.org/pub/gnu/libiconv/libiconv-1.11.tar.gz
libgcrypt,1.4.6,LGPL,ftp://ftp.gnupg.org/gcrypt/libgcrypt/libgcrypt-1.4.6.tar.bz2
expat,2.0.1,BSD,http://sourceforge.net/projects/expat/files/expat-2.0.1.tar.gz
e2fsprogs,1.41.11,GPLv2,http://freefr.dl.sourceforge.net/project/e2fsprogs/e2fsprogs/1.41.11/e2fsprogs-1.41.11.tar.gz
libnfsidmap,0.23,BSD,http://www.citi.umich.edu/projects/nfsv4/linux/libnfsidmap/libnfsidmap-0.23.tar.gz
lrzsz,0.12.20,GPLv2,http://www.ohse.de/uwe/releases/lrzsz-0.12.20.tar.gz
alsautils,1.0.24.2,GPLv2,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-1.0.24.2.tar.bz2
radvd,1.5,BSD,http://www.litech.org/radvd/dist/radvd-1.5.tar.gz
libdb,4.6,BSD,http://archive.ubuntu.com/ubuntu/pool/universe/d/db4.6/db4.6_4.6.21.orig.tar.gz
rrdtool,1.2.30,GPLv2,http://oss.oetiker.ch/rrdtool/pub/rrdtool-1.2.30.tar.gz
libwrap,7.6,BSD,ftp://ftp.porcupine.org/pub/security/tcp_wrappers_7.6.tar.gz
lzo,2.03,GPLv2,http://www.oberhumer.com/opensource/lzo/download/lzo-2.03.tar.gz
libpcap,1.1.1,BSD,http://www.tcpdump.org/release/libpcap-1.1.1.tar.gz
tcpdump,3.9.4,BSD,http://www.tcpdump.org/release/tcpdump-3.9.4.tar.gz
libpng,1.2.49,BSD,http://sourceforge.net/projects/libpng/files/libpng-1.2.49.tar.bz2
zlib,1.2.5,BSD,http://www.zlib.net/zlib-1.2.5.tar.bz2
readline,5.2,GPLv2,http://ftp.gnu.org/pub/gnu/readline/readline-5.2.tar.gz
libxml,2.7.8,BSD,ftp://xmlsoft.org/libxslt/libxml2-2.7.8.tar.gz
xfsprogs,3.1.1,GPLv2,ftp://oss.sgi.com/projects/xfs/previous/xfsprogs-3.1.1.tar.gz
pciutils,3.1.5,GPLv2,ftp://atrey.karlin.mff.cuni.cz/pub/linux/pci/pciutils-3.1.5.tar.gz
iptables,1.4.3,GPLv2,ftp://ftp.de.netfilter.org/pub/iptables/iptables-1.4.3.tar.bz2
wirelesstools,29,GPLv2,http://www.hpl.hp.com/personal/Jean_Tourrilhes/Linux/wireless_tools.29.tar.gz
pcre,7.9,BSD,http://freefr.dl.sourceforge.net/project/pcre/pcre/7.9/pcre-7.9.tar.gz
transmission,2.12,GPLv2,http://mirrors.m0k.org/transmission/files/transmission-2.12.tar.bz2
portmap,6.0,BSD,http://neil.brown.name/portmap/portmap-6.0.tgz
libnl,1.1,LGPL,http://people.suug.ch/~tgr/libnl/files/libnl-1.1.tar.gz
libncurses,5.7,MIT,ftp://ftp.gnu.org/gnu/ncurses/ncurses-5.7.tar.gz
libuclibcxx,0.2.4,LGPL,http://cxx.uclibc.org/src/uClibc++-0.2.4.tar.bz2
faad2,2.7,GPLv2,http://sourceforge.net/projects/faac/files/faad2-2.7.tar.bz2
dosfstools,3.0.9,GPLv2,http://www.daniel-baumann.ch/software/dosfstools/dosfstools-3.0.9.tar.gz
avahi,0.6.30,LGPL,http://avahi.org/download/avahi-0.6.30.tar.gz
freetype,2.4.9,BSD,http://savannah.nongnu.org/download/freetype/freetype-2.4.9.tar.bz2
